Ballot No,Name,Post,Total,Position
8,মমাোঃ আতরফুল ইসলাম,"কমনরুম, রিডিংরুম ও ক্যাফেটেরিয়া বিষয়ক সম্পাদক",753,9
9,মমাছাোঃ জাতকয়া আক্তার,"কমনরুম, রিডিংরুম ও ক্যাফেটেরিয়া বিষয়ক সম্পাদক",260,11
10,"সাতদয়া িাব্া¯সুম
িামান্না","কমনরুম, রিডিংরুম ও ক্যাফেটেরিয়া বিষয়ক সম্পাদক",1049,7
11,সুমী dাকমা,"কমনরুম, রিডিংরুম ও ক্যাফেটেরিয়া বিষয়ক সম্পাদক",4482,2
1,আব্দুল্লাে জুব্াহয়র,ক্যারিয়ার ডেভেলপমেন্ট সম্পাদক,1457,5
2,তনতশ আক্তার,ক্যারিয়ার ডেভেলপমেন্ট সম্পাদক,900,8
3,মাোমুদ োসান,ক্যারিয়ার ডেভেলপমেন্ট সম্পাদক,415,11
4,মমা: জাতেদুল ইসলাম সাতকব্,ক্যারিয়ার ডেভেলপমেন্ট সম্পাদক,625,9
5,মমা: মাজোরুল ইসলাম,ক্যারিয়ার ডেভেলপমেন্ট সম্পাদক,9344,1
6,মমাোঃ আব্দুল্লাে আল মুকিাতদর,ক্যারিয়ার ডেভেলপমেন্ট সম্পাদক,323,13
7,মমাোঃ আল মামুন,ক্যারিয়ার ডেভেলপমেন্ট সম্পাদক,304,14
8,মমাোঃ রজব্ সালার খান শাওন,ক্যারিয়ার ডেভেলপমেন্ট সম্পাদক,392,12
9,"মমাোম্মদ আরকানুল
ইসলাম (রূপক)",ক্যারিয়ার ডেভেলপমেন্ট সম্পাদক,3615,3
10,রুপাইয়া মেষ্ঠা িঞ্চঙ্গ্যা,ক্যারিয়ার ডেভেলপমেন্ট সম্পাদক,4123,2
11,মরজওয়ান আেহম্মদ তরফাি,ক্যারিয়ার ডেভেলপমেন্ট সম্পাদক,1574,4
12,তলটন জত্রপুরা,ক্যারিয়ার ডেভেলপমেন্ট সম্পাদক,1074,6
13,শাি তময়া,ক্যারিয়ার ডেভেলপমেন্ট সম্পাদক,590,10
14,সালমান,ক্যারিয়ার ডেভেলপমেন্ট সম্পাদক,45,15
15,স্বাধীন আেহমদ,ক্যারিয়ার ডেভেলপমেন্ট সম্পাদক,961,7
1,আরমান মোহসন,ক্রীড়া সম্পাদক,7255,1
2,ইয়াসীন আরাফাি,ক্রীড়া সম্পাদক,618,9
3,তdমতdমযা dাকমা,ক্রীড়া সম্পাদক,3788,3
4,জতেন মফরহদৌস জাতম,ক্রীড়া সম্পাদক,3438,4
5,মাতলো িাব্া¯সুম মীম,ক্রীড়া সম্পাদক,1705,6
6,"মুোইহমনুল ইসলাম
িতক",ক্রীড়া সম্পাদক,669,7
7,মমহেদী মোহসন তরহপল,ক্রীড়া সম্পাদক,450,11
8,মমা: মুক্তার মোহসন,ক্রীড়া সম্পাদক,502,10
9,"মমাোঃ আল-আতমন
(সরকার)",ক্রীড়া সম্পাদক,3831,2
10,মমাোঃ মুশতফকুর রেমান,ক্রীড়া সম্পাদক,166,13
11,মমাোঃ তরয়াজ মািুব্বর,ক্রীড়া সম্পাদক,642,8
12,মমাোঃ সাতদকুজ্জামান সরকার,ক্রীড়া সম্পাদক,3180,5
13,তসয়দ ইস্রাতফল মোহসন,ক্রীড়া সম্পাদক,215,12
1,তনজজনা ইসলাম,গবেষণা ও প্রকাশনা সম্পাদক,1053,4
2,মমাোঃ আইমান মােমুদ,গবেষণা ও প্রকাশনা সম্পাদক,331,9
3,মমাোঃ আরাফাি ইমরান,গবেষণা ও প্রকাশনা সম্পাদক,709,7
4,মমাোঃ ইফহিখার আকদ আতকব্,গবেষণা ও প্রকাশনা সম্পাদক,789,6
5,মমাোঃ সাজ্জাদ মোসাইন খাাঁন,গবেষণা ও প্রকাশনা সম্পাদক,7189,2
6,মমাছাোঃ জান্নািুন নাোর,গবেষণা ও প্রকাশনা সম্পাদক,667,8
7,মমাোম্মদ মাহজদুর রেমান,গবেষণা ও প্রকাশনা সম্পাদক,854,5
8,"সানজজদা আেহমদ
িতি",গবেষণা ও প্রকাশনা সম্পাদক,11778,1
9,তসয়াম মফরহদৌস ইমন,গবেষণা ও প্রকাশনা সম্পাদক,2371,3
1,ইমরান তময়া,ছাত্র পরিবহণ সম্পাদক,326,10
2,"খদকার ওয়াজজে্
িাওতসফ",ছাত্র পরিবহণ সম্পাদক,520,9
3,"মাশতফকুজ্জামান
িাঈন",ছাত্র পরিবহণ সম্পাদক,269,12
4,মাোতির খান তননাদ,ছাত্র পরিবহণ সম্পাদক,704,8
5,মমাোঃ আতসফ আব্দুল্লাে,ছাত্র পরিবহণ সম্পাদক,9061,1
6,মমাোঃ আতসফ জারদারী,ছাত্র পরিবহণ সম্পাদক,2000,5
7,"মমাোঃ ইসমাঈল মোহসন
(রুদ্র)",ছাত্র পরিবহণ সম্পাদক,1235,7
8,মমাোঃ রাজজন মোহসন,ছাত্র পরিবহণ সম্পাদক,1583,6
9,মমাোঃ রাতফজ খান,ছাত্র পরিবহণ সম্পাদক,4505,2
10,মমাোঃ রায়োন,ছাত্র পরিবহণ সম্পাদক,315,11
11,মমাোঃ সাইফ উল্লাে,ছাত্র পরিবহণ সম্পাদক,3312,3
12,রাহশদ খান আতদব্,ছাত্র পরিবহণ সম্পাদক,2405,4
1,"আব্দুল্লাে ইব্হন
োতনফ আতরয়ান",বিজ্ঞান ও প্রযুক্তি সম্পাদক,1334,7
2,আেমাদ োসান িালো,বিজ্ঞান ও প্রযুক্তি সম্পাদক,391,12
3,আোদ তব্ন ইসলাম মশাহয়ব্,বিজ্ঞান ও প্রযুক্তি সম্পাদক,4273,2
4,জুয়াইতরয়া আক্তার,বিজ্ঞান ও প্রযুক্তি সম্পাদক,671,8
5,ফাতিন ইশরাক,বিজ্ঞান ও প্রযুক্তি সম্পাদক,2021,5
6,ফারোন লাব্ীব্,বিজ্ঞান ও প্রযুক্তি সম্পাদক,526,10
7,মমা: এেসানুল ইসলাম,বিজ্ঞান ও প্রযুক্তি সম্পাদক,2373,4
8,মমা: শাতকব্ খান,বিজ্ঞান ও প্রযুক্তি সম্পাদক,1339,6
9,মমা: সজীব্ মোহসন,বিজ্ঞান ও প্রযুক্তি সম্পাদক,513,11
10,মমা. তরয়াজ মৃধা,বিজ্ঞান ও প্রযুক্তি সম্পাদক,535,9
11,মমাোঃ ইকব্াল োয়দার,বিজ্ঞান ও প্রযুক্তি সম্পাদক,7833,1
12,"মমাোঃ মতমনুল ইসলাম
(তব্ধান)",বিজ্ঞান ও প্রযুক্তি সম্পাদক,3200,3
1,আকাশ আলী,মানবাধিকার ও আইন বিষয়ক সম্পাদক,736,6
2,আতনকা িােতসনা,মানবাধিকার ও আইন বিষয়ক সম্পাদক,3427,2
3,ইসতিয়াক আেহম্মদ,মানবাধিকার ও আইন বিষয়ক সম্পাদক,563,8
4,িাসতপয়া িাব্াসসুম মমৌতমিা,মানবাধিকার ও আইন বিষয়ক সম্পাদক,717,7
5,নুসরাি জাোন তনসু,মানবাধিকার ও আইন বিষয়ক সম্পাদক,3365,3
6,মু. মমহেদী োসান মুন্না,মানবাধিকার ও আইন বিষয়ক সম্পাদক,2879,4
7,মমা: শােতরয়ার জাতব্র,মানবাধিকার ও আইন বিষয়ক সম্পাদক,371,9
8,মমাোঃ ঈদুল ফয়সাল,মানবাধিকার ও আইন বিষয়ক সম্পাদক,323,10
9,"মমাোঃ জাকাতরয়া
(সাখাওয়াি
জাকাতরয়া)",মানবাধিকার ও আইন বিষয়ক সম্পাদক,11747,1
10,মমাোঃ জজোদুল ইসলাম,মানবাধিকার ও আইন বিষয়ক সম্পাদক,142,11
11,শুভ আেহম্মদ,মানবাধিকার ও আইন বিষয়ক সম্পাদক,778,5
1,আব্ু ব্কর তসজদ্দক,মুক্তিযুদ্ধ ও গণতান্ত্রিক আন্দোলন সম্পাদক,979,10
2,আব্দুল্লাে সাহলেীন অয়ন,মুক্তিযুদ্ধ ও গণতান্ত্রিক আন্দোলন সম্পাদক,1170,6
3,আয়ান আব্দুল্লাে,মুক্তিযুদ্ধ ও গণতান্ত্রিক আন্দোলন সম্পাদক,1050,9
4,আতরফুল ইসলাম,মুক্তিযুদ্ধ ও গণতান্ত্রিক আন্দোলন সম্পাদক,2470,2
5,আতলফ ইমরান তলব্ন,মুক্তিযুদ্ধ ও গণতান্ত্রিক আন্দোলন সম্পাদক,506,11
6,আতশকুর রেমান,মুক্তিযুদ্ধ ও গণতান্ত্রিক আন্দোলন সম্পাদক,1137,7
7,ছাজজদ রেমান,মুক্তিযুদ্ধ ও গণতান্ত্রিক আন্দোলন সম্পাদক,237,15
8,নূমান আেমাদ মdৌধুরী,মুক্তিযুদ্ধ ও গণতান্ত্রিক আন্দোলন সম্পাদক,1776,3
9,ফাহিমা িাসতনম জুমা,মুক্তিযুদ্ধ ও গণতান্ত্রিক আন্দোলন সম্পাদক,10631,1
10,তব্ এম ফােতমদা আলম,মুক্তিযুদ্ধ ও গণতান্ত্রিক আন্দোলন সম্পাদক,1057,8
11,মাোমুদ তশকদার,মুক্তিযুদ্ধ ও গণতান্ত্রিক আন্দোলন সম্পাদক,351,13
13,মমহেরাজ মােমুদ আলভী,মুক্তিযুদ্ধ ও গণতান্ত্রিক আন্দোলন সম্পাদক,236,16
14,মমা: হৃদয় আেহম্মদ,মুক্তিযুদ্ধ ও গণতান্ত্রিক আন্দোলন সম্পাদক,504,12
15,মমাোঃ আব্ু সাঈদ,মুক্তিযুদ্ধ ও গণতান্ত্রিক আন্দোলন সম্পাদক,1742,4
16,মমাজাহম্মল েক,মুক্তিযুদ্ধ ও গণতান্ত্রিক আন্দোলন সম্পাদক,1336,5
17,শাোদাৎ মোহসন,মুক্তিযুদ্ধ ও গণতান্ত্রিক আন্দোলন সম্পাদক,273,14
1,অপূব্াজ ইসলাম,সদস্য,853,93
2,অকজ ব্ড়ুয়া (রক্তব্ীজ),সদস্য,3499,16
3,আতকব্ মোহসন,সদস্য,777,106
4,আতখরুল ইসলাম,সদস্য,496,154
5,আতিকা আনজুম অিী,সদস্য,1549,51
6,আনাস ইব্হন মুতনর,সদস্য,5015,7
7,আতনয়া আক্তার,সদস্য,719,116
8,আব্দুর রেমান,সদস্য,653,124
9,আব্দুলযা আল মােমুদ,সদস্য,3386,17
10,"আব্দুল্লাে আল আতমন
(রাতকব্)",সদস্য,988,80
11,আব্রার জাতরফ,সদস্য,575,144
12,আতব্দ আব্দুল্লাে,সদস্য,2383,29
13,আতব্র োসান,সদস্য,3126,20
14,আব্ু ওয়াহজদ শাে্ মসৌতমক,সদস্য,1554,50
15,আব্ু ছাহল মমাোঃ হুমায়ন মেলাল,সদস্য,1248,66
16,আব্ু মমাোঃ আহলকজান্ডার পলাশ,সদস্য,574,145
17,"আব্দুর রেমান (আল-
ফাোদ)",সদস্য,2637,26
18,আব্দুল মাজজদ,সদস্য,593,135
19,আব্দুল্লাে আল মনামান,সদস্য,493,158
20,"আব্দুল্লাে আল মুতব্ন
(তরফাি)",সদস্য,947,84
21,আব্দুল্লাে-আল- আতদব্,সদস্য,648,127
22,আতরফুর রেমান,সদস্য,1487,56
23,আতশক খান,সদস্য,3050,21
24,ইব্নু আেহমদ,সদস্য,1173,69
25,ইমরান মোসাইন,সদস্য,6256,3
26,ইয়াতসন আরাফাি আতলফ,সদস্য,2598,27
27,ইতলয়াস িালুকদার,সদস্য,310,186
28,ইসমাইল আলী,সদস্য,166,211
29,ইসমাইল মোহসন,সদস্য,1143,74
30,ইসমাঈল,সদস্য,477,161
31,ইসরাি জাোন ইমু,সদস্য,3648,15
32,উম্মা উসওয়ািুন রাতফয়া,সদস্য,4209,13
33,"ঊপাইমং পৃতিং
(পৃত িং মারমা)",সদস্য,2815,25
34,এম. আব্রার আলভী,সদস্য,851,94
35,"এস, এম িামীম তব্ন ইউসুফ অপূব্ জ",সদস্য,600,133
36,ওয়াকার রেমান মসৌরভ,সদস্য,925,86
37,মকৌতফক আতদর,সদস্য,297,189
38,খাতলদ সাইফুল্লাে মজুমদার,সদস্য,496,154
39,মগালাম তকব্তরয়া,সদস্য,206,205
40,জহয়ন উজদ্দন সরকার,সদস্য,365,176
41,জাতেন আেহমদ জজদান,সদস্য,759,111
42,জাহেদুল ইসলাম জজোদ,সদস্য,511,152
43,জুনাইদ মোসাইন আদনান,সদস্য,372,173
44,িতপিজ  া ইসলাম অতি,সদস্য,729,115
45,িাওতছব্ মোসাইন,সদস্য,176,208
46,িাছনীম উদ্দীন,সদস্য,598,134
47,িাজজনুর রেমান,সদস্য,5690,5
48,িানভীর োসান,সদস্য,459,164
49,"িানভীর মোহসন
িাপাদার",সদস্য,719,116
50,িাপসী রাহব্য়া,সদস্য,3022,23
51,িালো মনগাব্ান,সদস্য,270,197
52,"নওরীন সুলিানা
(িমা)",সদস্য,1787,42
53,"নাইমুর রেমান
(দুজজয়)",সদস্য,1389,61
54,নাতফস সাতদক,সদস্য,1404,60
55,নাতেদ োসান,সদস্য,385,171
56,তনিযানদ পাল,সদস্য,3978,14
57,"নুরুল ইসলাম
(নাতেদ)",সদস্য,1257,65
58,নুসরাি জাোন মীম,সদস্য,682,121
59,নুসরাি জাোন সাউদা,সদস্য,1828,40
60,নুসরাি (মাো),সদস্য,1205,67
61,নূর-রাফসান তসজদ্দক সাহয়ম,সদস্য,1154,71
62,নূরুল জান্নাি মান্না,সদস্য,765,110
63,"প্রহসনজজৎ মদব্
(পাি)জ",সদস্য,2246,31
64,ফারুক োওলাদার,সদস্য,175,209
65,মফরহদৌস আলম,সদস্য,1108,75
66,ব্তব্ তব্শ্বাস,সদস্য,2348,30
67,ব্াহয়জজদ োসান,সদস্য,581,142
68,ব্ুশরা তব্নহি ব্াদশা,সদস্য,331,184
69,মকব্ুল উর রেমান আজাদ,সদস্য,645,128
70,মতনর মোহসন,সদস্য,582,141
71,মাজোরুল ইসলাম,সদস্য,3303,18
72,"মােফুজা নাওয়ার
(নওরীন)",সদস্য,1486,57
73,মােমুদুল োসান,সদস্য,252,200
74,তমশকািুল মাতশয়াি,সদস্য,1856,38
75,মু. আতশকুর রেমান আফফান,সদস্য,1752,44
76,মুনইম োসান অরুপ,সদস্য,1431,58
77,মুনমুন ইসলাম ঋিু,সদস্য,419,170
78,মুোম্মদ মােব্ুব্ুর রেমান,সদস্য,766,109
79,মুতেব্ মুশতফক খান,সদস্য,281,194
80,মমহেরুহন্নছা মকয়া,সদস্য,3294,19
81,মমা ইমাদুল ইসলাম আকাশ,সদস্য,217,204
82,মমা মরজাউল কতরম,সদস্য,276,196
83,মমা: ইকরামুল কতব্র,সদস্য,650,125
84,মমা: ইয়াতছন আেহমদ অপু,সদস্য,533,148
85,মমা: তগয়াস উজদ্দন,সদস্য,2158,34
86,মমা: জামাল মোহসন,সদস্য,436,167
87,মমা: জুহয়ল রানা,সদস্য,800,103
88,মমা: মুকিারুল ইসলাম (তরদয়),সদস্য,643,129
89,মমা: মমহেদী োসান মdৌধুরী,সদস্য,496,154
90,মমা: মমাফাজ্জল মোহসন,সদস্য,475,162
91,মমা: মরদওয়ান মন্ডল তরফাি,সদস্য,0,217
92,মমা: সামছুহদ্দাো,সদস্য,698,118
93,মমা: োতব্ব্ুর রেমান ফাতেম,সদস্য,290,192
94,মমা: োতসব্ুর রেমান সাতকব্,সদস্য,1766,43
95,মমা: মজাব্াহয়র,সদস্য,298,188
96,মমা: তরয়াদ মোহসন,সদস্য,267,198
97,মমা: োসান,সদস্য,107,216
98,মমা. আব্দুল্লাে আল মােমুদ (মমহেদী),সদস্য,928,85
99,"মমা. খাহলদ
সাইফুল্লাে জজোদ ভূঞাাঁ",সদস্য,445,166
100,"মমা. নাইমুর রেমান
(তরদম)",সদস্য,898,90
101,মমা. রাোি তসকদার,সদস্য,906,88
102,মমা. সাজজদ-উল- ইসলাম (সাজজদ তব্ন শেীদ),সদস্য,531,149
103,"মমা. সামসুজ্জামান
(োব্ণ)",সদস্য,365,176
104,মমা. আব্দুল্লাে ইব্হন মজাব্াহয়র,সদস্য,556,146
105,মমাোঃ আকাশ শাে,সদস্য,578,143
106,মমাোঃ আব্ুিাহলব্,সদস্য,484,159
107,মমাোঃ আব্দুল কাতদর জজলানী,সদস্য,482,160
108,মমাোঃ আব্দুল ব্াতছি,সদস্য,1688,46
109,মমাোঃ আব্দুল মুতকি পারহভজ,সদস্য,1183,68
110,"মমাোঃ আব্দুল মমাত্তাতলব্
মোহসন (হৃদয়)",সদস্য,819,101
111,মমাোঃ আরমানুল ইসলাম,সদস্য,987,81
112,মমাোঃ আতরফুল ইসলাম রতন,সদস্য,900,89
113,মমাোঃ আল আতমন,সদস্য,168,210
114,"মমাোঃ আল মাতেদ
(অনুপম)",সদস্য,528,150
115,মমাোঃ আলমগীর মোহসন,সদস্য,515,151
116,"মমাোঃ আশরাফুল
আলম (অতনক)",সদস্য,1100,76
117,মমাোঃ আসাদুল্লাে আল মুতনব্,সদস্য,303,187
118,মমাোঃ ইনসান,সদস্য,584,140
119,"মমাোঃ ইসমাইল মোহসন
(ইস. ইতি. ও সংস্কৃতি)",সদস্য,497,153
120,"মমাোঃ ইসমাইল
মোহসন(রসায়ন)",সদস্য,803,102
121,মমাোঃ জাতমউল ইসলাম,সদস্য,793,104
122,মমাোঃ জাতরফ রেমান,সদস্য,2183,33
123,মমাোঃ জাতেদ োসান,সদস্য,1572,49
124,মমাোঃ জজোদুল ইসলাম,সদস্য,369,174
125,মমাোঃ জুব্াহয়দুল ইসলাম তশোব্,সদস্য,608,131
126,"মমাোঃ মজতভয়ার োসান
(মজতভ)",সদস্য,749,112
127,মমাোঃ িফতসরুল্লাে,সদস্য,591,137
128,মমাোঃ িাওেীদ উজদ্দন আলভী,সদস্য,821,99
129,মমাোঃ িাফতসরুল ইসলাম িুতশন,সদস্য,165,212
130,মমাোঃ িাহরক োসান,সদস্য,162,213
131,মমাোঃ নাইমুর রেমান দুজজয়,সদস্য,695,119
132,"মমাোঃ নাজমুল োসান
(পুলক)",সদস্য,495,157
133,মমাোঃ নাতফস ইকব্াল,সদস্য,363,179
134,মমাোঃ নাতেদ োসান,সদস্য,2216,32
135,"মমাোঃ মনওয়াজ শরীফ
(আরমান)",সদস্য,1796,41
136,"মমাোঃ মফরহদৌস
আইয়াম (রাইয়ান)",সদস্য,2460,28
137,"মমাোঃ মব্লাল মোহসন
অপু(অপু খান)",সদস্য,4865,10
138,মমাোঃ মতনর মোহসন,সদস্য,373,172
139,মমাোঃ মাসুম তব্ল্লাে,সদস্য,1153,72
140,মমাোঃ মাস্উদুজ্জামান,সদস্য,839,95
141,মমাোঃ মােিাপ ইসলাম,সদস্য,1939,36
142,মমাোঃ মােমুদুল োসান,সদস্য,1587,48
143,"মমাোঃ তমফিাহুল
মোসাইন আল-মারুফ",সদস্য,5015,7
144,মমাোঃ তমরাজ মোহসন,সদস্য,470,163
145,মমাোঃ মুশতফকুর রেমান,সদস্য,428,168
146,মমাোঃ মমহেতদ োসান,সদস্য,356,181
147,মমাোঃ মমাফাহেল েক,সদস্য,232,203
148,মমাোঃ মমাস্তাতকম,সদস্য,1341,62
149,মমাোঃ রাইসুল ইসলাম,সদস্য,4535,11
150,"মমাোঃ রাতকব্ুল আলম
(রুদ্র)",সদস্য,889,91
151,মমাোঃ রাহজকুজ জামান জুহয়ল,সদস্য,589,138
152,মমাোঃ তরয়াজ উজদ্দন,সদস্য,279,195
153,মমাোঃ তরয়াদুল ইসলাম,সদস্য,190,206
154,মমাোঃ তললু ব্াব্ু,সদস্য,322,185
155,মমাোঃ শাতকল,সদস্য,1527,52
156,মমাোঃ শামীম রানা,সদস্য,1846,39
157,"মমাোঃ শাে আলম
(অন)জ",সদস্য,671,123
158,মমাোঃ শাতেন পারহভজ,সদস্য,333,183
159,মমাোঃ শাতেনুর রেমান,সদস্য,4390,12
160,মমাোঃ তশতশর (িাতনম),সদস্য,1912,37
161,"মমাোঃ সজজব্ মোসাইন
(মর  জুলাই)",সদস্য,827,96
162,মমাোঃ সামশুহদ্দৌজা নব্াব্,সদস্য,767,108
163,মমাোঃ সামসুল েক আনান,সদস্য,1298,63
164,মমাোঃ তসফািুল ইসলাম,সদস্য,1012,79
165,মমাোঃ মসাোনুর রেমান,সদস্য,674,122
166,মমাোঃ োছনাইন,সদস্য,632,130
167,মমাোঃ োতফজুর রেমান,সদস্য,607,132
168,"মমাোঃ োসান জুব্াহয়র
িুফান",সদস্য,1162,70
169,"মমাোঃ োসীব্ আল
োসান",সদস্য,731,114
170,মমাোঃ আরাফাি মোহসন,সদস্য,1520,53
171,"মমাোঃ িানজজম
আেহমদ (অনয়)",সদস্য,649,126
172,মমাছা; আফসানা আক্তার,সদস্য,5747,4
173,মমািজজা মোছাইন শাতফ,সদস্য,971,83
174,মমাসাোঃ োতব্ব্া,সদস্য,368,175
175,মমাসÍফা আেমদ,সদস্য,586,139
176,"মমাোম্মদ আব্দুল
কাইয়ুম",সদস্য,359,180
177,মমাোম্মদ ইউনুছ শাতমম,সদস্য,535,147
178,মমাোম্মদ এরফান,সদস্য,292,190
179,মমাোম্মদ তরদুয়ান,সদস্য,825,97
180,মমাোম্মাদ আফজাল হুসাইন তসয়াম,সদস্য,421,169
181,রওনক জাোন,সদস্য,1267,64
182,রঞ্জন রায়,সদস্য,2966,24
183,রাতকব্ুল ইসলাম,সদস্য,257,199
184,রাতকব্ুল োসান,সদস্য,349,182
185,"রাতফউল আতমন
(মাইনুল েক)",সদস্য,455,165
186,রাতফউল েক রাতফ,সদস্য,1065,78
187,রায়োন উদ্দীন,সদস্য,5082,6
188,রােনুমা আেহমদ তনহরট,সদস্য,1084,77
189,তরফতি-আল-জাহব্দ,সদস্য,1417,59
190,তরয়াজ উজদ্দন,সদস্য,1497,55
191,তরয়াদুল ইসলাম,সদস্য,289,193
192,শরীফ আব্দুল কাইয়ুম,সদস্য,235,202
193,শােীন তব্শ্বাস (শােীন মুনিাসীর),সদস্য,1517,54
194,মশখ আতনয়া ফােতমন,সদস্য,743,113
195,মশাহয়ব্ আেহমদ,সদস্য,592,136
196,সরদার নাতদম মােমুদ শুভ,সদস্য,2080,35
197,সব্ জতমত্র dাকমা,সদস্য,8988,2
198,সাইদুর রেমান মাতনক,সদস্য,3036,22
199,সাঈম উজদ্দন মরামন,সদস্য,182,207
200,সাজ্জাদ মোসাইন,সদস্য,980,82
201,সাহদকুর রেমান সাতন,সদস্য,1153,72
202,"সাহনায়ার মোসাইন
(সাতন)",সদস্য,1743,45
203,সাফায়াি খতলল নাতকব্,সদস্য,919,87
204,সাতব্কুন নাোর িামান্না,সদস্য,10084,1
205,সাতব্ল আেহমদ,সদস্য,789,105
206,সাজব্বর উজদ্দন তরয়ন,সদস্য,820,100
207,"তস, এম, মতশউল্লা ইব্রােীম তনশাদ",সদস্য,248,201
208,সৃজজিা এেসান,সদস্য,770,107
209,তসয়দ নাতফজ মdৌধুরী,সদস্য,109,215
210,"তসয়দ তমনোজুল
ব্াোর (তমনোজ)",সদস্য,685,120
211,মসামানদ ব্ড়ুয়া মসৌরভ,সদস্য,823,98
212,মসায়াইব্ ইসলাম ওতম,সদস্য,1654,47
213,মসাোন ফতকর,সদস্য,364,178
214,োসান তব্ন রফীক,সদস্য,113,214
215,োতসব্ুর রেমান,সদস্য,887,92
216,তেশাম আহনায়ার,সদস্য,292,190
217,মেমা dাকমা,সদস্য,4908,9
1,আব্ু মুজাতেদ আকাশ,সমাজসেবা সম্পাদক,1388,7
2,আতরফুর রেমান মজুমদার,সমাজসেবা সম্পাদক,412,11
3,ওব্াহয়দুল েক,সমাজসেবা সম্পাদক,155,16
4,জয় আেহমদ সাতন,সমাজসেবা সম্পাদক,226,15
5,জয়নাল আহব্তদন লাভলু,সমাজসেবা সম্পাদক,450,10
6,ফাইজুল্লাে,সমাজসেবা সম্পাদক,372,12
7,মতের আলম,সমাজসেবা সম্পাদক,2099,4
8,মােফুজ আেহম্মদ শােীন,সমাজসেবা সম্পাদক,337,13
9,মমা: শােতরয়ারআলম,সমাজসেবা সম্পাদক,1195,9
10,মমা: শরীফুল ইসলাম,সমাজসেবা সম্পাদক,2556,3
11,মমা. আশরাফুল ইসলাম,সমাজসেবা সম্পাদক,273,14
12,মমাোঃ িাওেীদুল ইসলাম,সমাজসেবা সম্পাদক,2045,5
13,মমাোঃ নাজমুল আতলফ,সমাজসেবা সম্পাদক,106,17
14,"মমাোঃ যুব্াইর তব্ন মনছারী (এতব্
জুব্াহয়র)",সমাজসেবা সম্পাদক,7608,1
15,সীমা আক্তার,সমাজসেবা সম্পাদক,1287,8
16,তসকি শমাজ,সমাজসেবা সম্পাদক,1495,6
17,"তসয়দ ইমাম োসান
(অতনক)",সমাজসেবা সম্পাদক,3903,2
1,আব্দুল ওয়াহেদ,সহ-সভাপতি,27,12
2,আব্দুল কাহদর,সহ-সভাপতি,1103,5
3,আতরফুল ইসলাম,সহ-সভাপতি,23,15
4,আল আতমন ইসলাম,সহ-সভাপতি,10,20
5,আতসফ আহনায়ার অতিক,সহ-সভাপতি,5,33
6,উমামা ফাহিমা,সহ-সভাপতি,3389,4
7,ছাহদক মোহসন,সহ-সভাপতি,39,10
8,"জালাল আেমদ
(জ্বালাময়ী জালাল)",সহ-সভাপতি,8,23
9,জাতেদ োসান,সহ-সভাপতি,17,17
10,িােতমনা আক্তার,সহ-সভাপতি,26,13
11,"দ্বীন মমাোম্মদ মসাোগ
(আলাদীন)",সহ-সভাপতি,6,28
